"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q182719","","","بحيرة توركانا","","Turkana-See","Lake Turkana","Lago Turkana","lac Turkana","Τουρκάνα","तुर्काना झील","Turkana-tó","Danau Turkana","lago Turkana","トゥルカナ湖","투르카나 호","Turkanameer","Jezioro Rudolfa","Lago Turkana","Рудольф","Turkanasjön","Turkana Gölü","Hồ Turkana","图尔卡纳湖"
"Q199551","","","بحيرة أرومية","উর্মিয়া হ্রদ","Urmiasee","Lake Urmia","Lago Urmía","lac d'Ourmia","","","Urmia-tó","","lago di Urmia","オルーミーイェ湖","우르미아 호","Urmiameer","Urmia","Lago Urmia","Урмия","Urmiasjön","Urmiye Gölü","Hồ Urmia","爾米亞湖"
"Q201294","","","بحيرة تشينغهاي","","Qinghai-See","Qinghai Lake","Lago Qinghai","lac Qinghai","","चिंगहई झील","","Danau Qinghai","lago Qinghai","青海湖","칭하이 호","Qinghaimeer","Kuku-nor","","Кукунор","Qinghaisjön","Koko Nor","Hồ Thanh Hải","青海湖"
"Q199903","","","بحيرة تابو","","Lake Taupo","Lake Taupo","Lago Taupo","lac Taupo","Λίμνη Τάουπο","ताऊपो झील","Taupói-tó","Danau Taupo","lago Taupo","タウポ湖","타우포 호","Taupomeer","Taupo","Lago Taupo","Таупо","Tauposjön","","Hồ Taupo","陶波湖"
"Q1140471","","","","","Lake Te Anau","Lake Te Anau","Lago Te Anau","lac Te Anau","","","","","","テ・アナウ湖","테아나우 호수","Te Anaumeer","Te Anau","","Те-Анау","Te Anau","Te Anau Gölü","","蒂阿瑙湖"
"Q1192384","","","","","Lake Manapouri","Lake Manapouri","Lago Manapouri","lac Manapouri","","","","","","マナポウリ湖","마나포우리 호수","Lake Manapouri","Manapouri","","Манапоури","","","","馬納普里湖"
"Q1431535","","","","","Saratower Stausee","Saratov Reservoir","Embalse de Sarátov","réservoir de Saratov","","","","","Bacino di Saratov","","","Saratovskoe vodochranilisjtsje","Zbiornik Saratowski","","Саратовское водохранилище","","","","薩拉托夫水庫"
"Q1291135","","","","","Eyasisee","Lake Eyasi","Lago Eyasi","lac Eyasi","","","","","Eyasi","エヤシ湖","","Lake Eyasi","","","Эяси","","","","埃亞西湖"
"Q1425346","","","","","Nischnekamsker Stausee","Nizhnekamsk Reservoir","Embalse del Kama Inferior","réservoir de Nijnekamsk","","","Nyizsnyekamszki-víztározó","","Bacino di Nižnekamsk","","","Nizjnekamskoe vodochranilisjtsje","","","Нижнекамское водохранилище","","","","下卡姆斯克水庫"
"Q211823","","","","","Tuz Gölü","Lake Tuz","Lago Tuz","lac Tuz","Λίμνη Τουζ","","Tuz-tó","","lago Salato","トゥズ湖","","Tuz Gölü","Tuz","Lago Tuz","Туз","Tuz Gölü","Tuz Gölü","Hồ Tuz","圖茲湖"
"Q201679","","","بحيرة فولتا","","Volta-Stausee","Lake Volta","Lago Volta","lac Volta","","वोल्टा झील","Volta-tó","","Volta","ヴォルタ湖","볼타 호","Voltameer","Wolta","Lago Volta","Вольта","Voltasjön","Volta Gölü","Hồ Volta","沃尔特水库"
"Q1500709","","","","","Wolgograder Stausee","Volgograd Reservoir","Embalse de Volgogrado","réservoir de Volgograd","","","","","Bacino di Volgograd","","","Volgogradskoe vodochranilisjtsje","Zbiornik Wołgogradzki","","Волгоградское водохранилище","","Volgograd Baraj Gölü","","伏爾加格勒水庫"
"Q1479284","","","","","Uglitscher Stausee","Uglich Reservoir","Embalse de Úglich","réservoir d'Ouglitch","","","","","","","","Oeglitsjskoe vodochranilisjtsje","Zbiornik Uglicki","","Угличское водохранилище","","","","烏格利奇水庫"
"Q1463552","","","","","Kubenasee","Lake Kubenskoye","","lac Koubenskoïe","","","","","lago Kubenskoe","クベンスコエ湖","","Koebenskoe ozero","Jezioro Kubieńskie","","Кубенское озеро","","","","庫邊斯科耶湖"
"Q1676050","","","","","Iwankowoer Stausee","Ivankovo Reservoir","Embalse de Ivánkovo","réservoir d'Ivankovo","","","","","","","","Ivankovskoe vodochranilisjtsje","","","Иваньковское водохранилище","","","","伊万科夫水库"
"Q399604","","","","","Lake Diefenbaker","Lake Diefenbaker","","lac Diefenbaker","","","","","","","","Lake Diefenbaker","","","Дифенбейкер","Lake Diefenbaker","","","迪芬贝克湖"
"Q321534","","","","","Abitibisee","Lake Abitibi","Lago Abitibi","lac Abitibi","","","","","lago Abitibi","","","Lake Abitibi","","Lago Abitibi","Абитиби","Abitibisjön","","","阿伯蒂比湖"
"Q304933","","","","","Abajasee","Lake Abaya","Lago Abaya","lac Abaya","","","","","lago Margherita","アバヤ湖","","Abayameer","Jezioro Małgorzaty","Lago Abaya","Абая","Ābaya Hāyk'","","","阿拜亞湖"
"Q1786720","","","","","Krasnojarsker Stausee","Krasnoyarsk Reservoir","Embalse de Krasnoyarsk","","","","","","Bacino di Krasnojarsk","","","stuwmeer van Krasnojarsk","Zbiornik Krasnojarski","","Красноярское водохранилище","","","","克拉斯諾亞爾斯克水庫"
"Q1801077","","","","","Lake Sakakawea","Lake Sakakawea","Lago Sakakawea","lac Sakakawea","","","","","lago Sakakawea","","","Lake Sakakawea","","","Сакакавиа","","","","沙卡卡威亞湖"
"Q1737137","","","","","Kaunasser Meer","Kaunas Reservoir","","","","","","","","","","Kauno marios","","","Каунасское водохранилище","","","","考納斯水庫"
"Q2426550","","","","","","Airag Lake","Lago Airag","lac Airag","","","","","Ajrag nuur","","","Airag Lake","Ajrag nuur","Lago Airag","Айраг-Нуур","","","","艾拉格湖"
"Q584201","","","","","Lake Amadeus","Lake Amadeus","Lago Amadeo","lac Amédée","","","","","lago Amadeus","アマデウス湖","","Lake Amadeus","Amadeus","Lago Amadeus","Амадиус","Amadeus-sjön","","","阿马迪厄斯湖"
"Q526440","","","البحيرات المرة","","Bitterseen","Great Bitter Lake","Gran Lago Amargo","Lacs Amer","","","","","Laghi amari","グレートビター湖","그레이트 비터 호","Bittermeren","Wielkie Jezioro Gorzkie","Grande Lago Amargo","Большое Горькое озеро","Bittersjöarna","","","大苦湖"
"Q503301","","","بحر سالتون","","Saltonsee","Salton Sea","Lago Saltón","Salton Sea","","","Salton-tó","","lago Salton","ソルトン湖","솔턴 호","Salton Sea","Salton Sea","Lago Salton","Солтон-Си","Salton Sea","Salton Denizi","Biển Salton","索爾頓湖"
"Q2576979","","","","","","","Embalse de Zeya","","","","","","Bacino della Zeja","","","Zejareservoir","","","Зейское водохранилище","","","","結雅水庫"
"Q3561541","","","","","","Wheeler Lake","Lago Wheeler","lac Wheeler","Λίμνη Γουίλερ","","","","","","","","","","","","","","韋勒湖"
"Q3042661","","","","","","Franklin D. Roosevelt Lake","Lago Franklin D. Roosevelt","lac Franklin D. Roosevelt","","","","","","ルーズベルト湖","","Franklin D. Roosevelt Lake","","","","","","","富蘭克林·D·羅斯福湖"
"Q745937","","","","","Kuibyschewer Stausee","Kuybyshev Reservoir","Embalse de Kúibyshev","réservoir de Kouïbychev","","","","","Bacino di Samara","クイビシェフ湖","","Koeybisjevskoe vodochranilisjtsje","Zbiornik Kujbyszewski","","Куйбышевское водохранилище","Kujbysjevreservoaren","","","古比雪夫水庫"
"Q756106","","","","","Manicouagan-Stausee","Manicouagan Reservoir","Lago Manicouagan","réservoir Manicouagan","","","","","lago Manicouagan","マニクアガン湖","","Manicouagan Reservoir","Manicouagan","","Маникуаган","Manicouaganreservoaren","","","曼尼古根隕石坑"
"Q755015","","","","","Cahora-Bassa-Stausee","Cahora Bassa","Embalse de Cahora Bassa","Cahora Bassa","","","Cahora Bassa-víztározó","","Diga di Cabora Bassa","カオラ・バッサ","","Cahora Bassa","Cahora Bassa","Barragem de Cahora Bassa","Кабора-Басса ГЭС","Cahora Bassa","","","卡布拉巴萨水库"
"Q662811","","","","","Chew Bahir","Lake Chew Bahir","Lago Chew Bahir","lac Chew Bahir","","","Csev-Bahir-tó","","Chew Bahir","","","Lake Chew Bahir","","","Чоу-Бахр","Chew Bahir","","","楚拜亥湖"
"Q654515","","","","","Lake Mead","Lake Mead","Lago Mead","lac Mead","","","Mead-tó","Lake Mead","lago Mead","ミード湖","미드 호","Lake Mead","Mead","Lago Mead","Мид","Lake Mead","","","米德湖"
"Q7332083","","","","","","Smith Mountain Lake","","Smith Mountain Lake","","","","","","スミス・マウンテン・ダム","","","","","","","","","史密斯山湖"
"Q14683954","","","","","","Shasta Lake","","lac Shasta","","","","","","シャスタ湖","","Shasta Lake","","","","","","","沙斯塔湖"
"Q958928","","","","","Lac Seul","Lac Seul","Lago Seul","lac Seul","","","","","lago Seul","","","Lac Seul","Lac Seul","","Лак-Сёль","Lac Seul","","","瑟勒湖"
"Q770141","","","","","Kainji-Stausee","Kainji Lake","Lago Kainji","lac Kainji","","","","","lago Kainji","カインジ湖","","Kainji Lake","Kainji","Lago Kainji","Каинджи","Kainji","","","卡因吉大壩"
"Q876280","","","","","Laguna Merín","Lagoa Mirim","Laguna Merín","Lagoa Mirim","","","","","Lagoa Mirim","メリン湖","미링 호","Merínlagune","Lagoa Mirim","Lagoa Mirim","Лагоа-Мирин","Lagoa Mirim","","","密林湖"
"Q1033302","","","","","Caniapiscau-Stausee","Caniapiscau Reservoir","Embalse de Caniapiscau","réservoir de Caniapiscau","","","","","Bacino di Caniapiscau","","","Caniapiscau Reservoir","","","Каниаписко","Kaniapiskausjön","","","卡尼亞皮斯科水庫"
"Q1047206","","","بحيرة كاريبا","","","Lake Kariba","Lago Kariba","lac Kariba","","कैरीबा झील","Kariba-tó","","lago Kariba","カリバ湖","","Karibameer","Kariba","Lago Kariba","Кариба","Karibasjön","Kariba Gölü","Hồ Kariba","卡里巴水庫"
"Q1192728","","","","","Lake Wanaka","Lake Wanaka","","lac Wanaka","","","","","","ワナカ湖","와나카 호수","Wanakameer","Wanaka","","Уанака","Lake Wanaka","","","瓦納卡湖"
