"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q207284","","","","","Ruapehu","Mount Ruapehu","Ruapehu","mont Ruapehu","Ρουαπέχου","रुआपेहू पर्वत","","","Ruapehu","ルアペフ山","루아페후 산","Mount Ruapehu","Ruapehu","Monte Ruapehu","Руапеху","Ruapehu","","","鲁阿佩胡山"
"Q214916","","","جبل لولايلاكو","","Llullaillaco","Llullaillaco","Volcán Llullaillaco","Llullaillaco","","","Llullaillaco","Llullaillaco","Llullaillaco","ユーヤイヤコ","유야이야코 산","Llullaillaco","Llullaillaco","Llullaillaco","Льюльяйльяко","Llullaillaco","Llullaillaco","","尤耶亞科山"
"Q213704","","","بيكو بوليفار","","Pico Bolívar","Pico Bolívar","Pico Bolívar","Pico Bolívar","","","Pico Bolívar","","Pico Bolívar","ボリバル山","볼리바르 봉","Pico Bolívar","Bolívar","Pico Bolívar","Пик Боливар","Pico Bolívar","","","玻利瓦尔峰"
"Q74214","","","","","El Pital","Cerro El Pital","Cerro El Pital","Cerro El Pital","","","","","Cerro El Pital","エル・ピタル山","","Cerro El Pital","El Pital","Cerro El Pital","","Cerro El Pital","","","埃尔皮塔尔山"
"Q60967","","","جبل كينابالو","কিনাবালু পর্বত","Kinabalu","Mount Kinabalu","Monte Kinabalu","mont Kinabalu","","","","Gunung Kinabalu","Monte Kinabalu","キナバル山","키나발루 산","Mount Kinabalu","Kinabalu","Monte Kinabalu","Кинабалу","Gunung Kinabalu","Kinabalu Dağı","Núi Kinabalu","京那巴鲁山"
"Q39739","","","أكونكاغوا","অ্যাকনকাগুয়া পর্বত","Aconcagua","Aconcagua","Aconcagua","Aconcagua","Ακονκάγκουα","अकोंकागुआ","Aconcagua","Akonkagua","Aconcagua","アコンカグア","아콩카과 산","Aconcagua","Aconcagua","Aconcágua","Аконкагуа","Aconcagua","Aconcagua","Aconcagua","阿空加瓜山"
"Q217142","","","","","Snowdon","Snowdon","Snowdon","mont Snowdon","","","","","Snowdon","スノードン山","스노우돈 산","Snowdon","Snowdon","","Сноудон","Snowdon","Snowdon","","斯諾登山"
"Q272593","","","","","Sajama","Nevado Sajama","Nevado Sajama","Nevado Sajama","","","Nevado Sajama","Nevado Sajama","Sajama","サハマ山","사하마 산","Nevado Sajama","Sajama","Nevado Sajama","Сахама","Nevado Sajama","","","萨哈马火山"
"Q277441","","","","","Mount Wilhelm","Mount Wilhelm","Monte Wilhelm","mont Wilhelm","Όρος Βίλχελμ","","Mount Wilhelm","","Monte Wilhelm","ウィルヘルム山","윌헬름 산","Mount Wilhelm","Góra Wilhelma","Monte Wilhelm","Вильгельм","Wilhelm","","","威廉峰"
"Q82613","","","كراكاتوا","ক্রাকাতোয়া","Krakatau","Krakatau","Volcán Krakatoa","Krakatoa","Κρακατόα","एनैक क्राकाटाओ","Krakatau","Krakatau","Krakatoa","クラカタウ","크라카타우 산","Krakatau","Krakatau","Krakatoa","Кракатау","Krakatau","Karakatau","Krakatoa","喀拉喀托火山"
