"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q23538","","","خط الاستواء","নিরক্ষরেখা","Äquator","equator","Ecuador terrestre","équateur terrestre","Ισημερινός","भूमध्य रेखा","Egyenlítő","Khatulistiwa","equatore","赤道","적도","evenaar","równik","Linha do equador","Экватор","Ekvator","Ekvator","Xích đạo","赤道"
"Q131389","","","خط التاريخ الدولي","আন্তর্জাতিক তারিখ রেখা","Datumsgrenze","International Date Line","Línea internacional de cambio de fecha","ligne de changement de date","Διεθνής Γραμμή Ημερομηνίας","अन्तर्राष्ट्रीय तिथि रेखा","Nemzetközi dátumválasztó vonal","batas penanggalan internasional","Linea internazionale del cambio di data","国際日付変更線","날짜 변경선","Internationale datumgrens","Międzynarodowa linia zmiany daty","Linha Internacional de Data","Линия перемены даты","Datumgränsen","Tarih değiştirme çizgisi","Đường đổi ngày quốc tế","国际日期变更线"
"Q176609","","","الدائرة القطبية الشمالية","উত্তর মেরুবৃত্ত","nördlicher Polarkreis","Arctic Circle","Círculo polar ártico","Cercle Arctique","Αρκτικός Κύκλος","आर्कटिक रेखा","északi sarkkör","Lingkar Arktik","Circolo polare artico","北極圏","북극권","Noordpoolcirkel","północne koło podbiegunowe","Círculo Polar Ártico","Северный полярный круг","Norra polcirkeln","Kuzey Kutup Dairesi","Vòng Bắc Cực","北極圈"
"Q176635","","","مدار السرطان","কর্কটক্রান্তি","Nördlicher Wendekreis","Tropic of Cancer","Trópico de Cáncer","Tropique du Cancer","Τροπικός του Καρκίνου","कर्क रेखा","Ráktérítő","Garis balik utara","Tropico del Cancro","北回帰線","북회귀선","Kreeftskeerkring","zwrotnik Raka","Trópico de Câncer","Северный тропик","Kräftans vändkrets","Yengeç Dönencesi","Chí tuyến Bắc","北回归线"
"Q177440","","","مدار الجدي","মকরক্রান্তি","Südlicher Wendekreis","Tropic of Capricorn","Trópico de Capricornio","Tropique du Capricorne","Τροπικός του Αιγόκερω","मकर रेखा","Baktérítő","Garis balik selatan","Tropico del Capricorno","南回帰線","남회귀선","Steenbokskeerkring","zwrotnik Koziorożca","Trópico de Capricórnio","Южный тропик","Stenbockens vändkrets","Oğlak Dönencesi","Chí tuyến Nam","南回归线"
"Q182657","","","الدائرة القطبية الجنوبية","কুমেরুবৃত্ত","südlicher Polarkreis","Antarctic Circle","Círculo polar antártico","Cercle Antarctique","Ανταρκτικός κύκλος","अंटार्कटिक रेखा","déli sarkkör","Lingkar Antarktika","Circolo polare antartico","南極圏","남극권","Zuidpoolcirkel","koło podbiegunowe południowe","Círculo Polar Antártico","Южный полярный круг","Södra polcirkeln","Güney Kutup Dairesi","Vòng Nam Cực","南極圈"
