"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q456377","","","","","Kölpinsee","Kölpinsee","","Kölpinsee","","","","","Kölpinsee","","","Kölpinsee","Kölpinsee","","Кёлпинзее","Kölpinsee","","",""
"Q545033","","","","","Randsfjord","Randsfjorden","Randsfjorden","Randsfjorden","","","","","","","","Randsfjord","Randsfjorden","","Раннсфьорден","Randsfjorden","","",""
"Q1351230","","","","","Miekojärvi","Miekojärvi","","Miekojärvi","","","","","","","","Miekojärvi","","","","Miekojärvi","","",""
"Q1303816","","","","","Eikesdalsee","Eikesdalsvatnet","","Eikesdalsvatnet","","","","","","","","Eikesdalsvatnet","","","","Eikesdalsvatnet","","",""
"Q1146737","","","","","Runn","Runn","","Runn","","","","","","","","Runn","","","","Runn","","",""
"Q1144485","","","","","Näldsjön","Näldsjön","","Näldsjön","","","","","","","","Näldsjön","","","","Näldsjön","","",""
"Q1301936","","","","","Vidöstern","","","Vidöstern","","","","","","","","Vidöstern","","","","Vidöstern","","",""
"Q1351656","","","ميتوس جيرفي","","Mutusjärvi","Mutusjärvi","","","","","","","","","","Mutusjärvi","","","","Muddusjärvi","","",""
"Q1474746","","","","","Helgasjön","Helgasjön","","Helgasjön","","","","","","","","Helgasjön","","Lago Helga","","Helgasjön","","",""
"Q465050","","","","","Storvindeln","Storvindeln","","Storvindeln","","","","","","","","","","","","Storvindeln","","",""
"Q673714","","","هيدنفيسي","","Hiidenvesi","Hiidenvesi","","","","","","","","","","Hiidenvesi","","","","Hiidenvesi","","",""
"Q732672","","","","","Rostojávri","Rostojávri","Rostojávri","Rostojávri","","","","","","","","Rostojávri","","","","Råstojaure","","",""
"Q676523","","","","","Möckeln","Möckeln","","Möckeln","","","","","","","","Möckeln","","","","Möckeln","","",""
"Q1018507","","","","","Bygdeträsket","Bygdeträsket","","Bygdeträsket","","","","","","","","","","Bygdeträsket","","Bygdeträsket","","",""
"Q175674","","","","","Norsjø","Norsjø","Lago Nor","Norsjø","","","","","","","","Norsjø","","","","Norsjø","","",""
"Q248626","","","","","Glafsfjorden","Glafsfjorden","Glafsfjorden","Glafsfjorden","","","","","","","","Glafsfjord","","Glafsfjorden","","Glafsfjorden","","",""
"Q271320","","","","","Åsunden","Åsunden","","Åsunden","","","","","","","","Åsunden","","Åsunden","","Åsunden","","",""
"Q450031","","","","","Selenter See","Selenter See","Selenter See","Selenter See","","","Selenter See","Selenter See","lago di Selent","","","Selenter See","Selenter See","Selenter See","","Selenter See","","Selenter See",""
"Q6396","","","","","Neusiedler See","Neusiedl Lake","Neusiedl","lac de Neusiedl","","न्युसिडल झील","Fertő","","lago di Neusiedl","ノイジードル湖","노이지들러 호","Neusiedler Meer","Jezioro Nezyderskie","Lago de Neusiedl","Нойзидлер-Зе","Neusiedlersjön","Neusiedl Gölü","Hồ Neusiedler","新錫德爾湖"
"Q4138","","","","","Chiemsee","Chiemsee","Chiemsee","lac de Chiem","","","Chiemsee","","Chiemsee","キーム湖","킴 호","Chiemsee","Chiem","Lago Chiemsee","Кимзе","Chiemsee","","Chiemsee","基姆湖"
"Q14375","","","","","Neuenburgersee","Lake Neuchâtel","Neuchâtel","lac de Neuchâtel","Λίμνη Νεσατέλ","","Neuchâteli-tó","Danau Neuchâtel","lago di Neuchâtel","ヌーシャテル湖","뇌샤텔 호","Meer van Neuchâtel","Neuchâtel","Lago de Neuchâtel","Невшательское озеро","Neuchâtelsjön","Neuchâtel Gölü","","纳沙泰尔湖"
"Q14381","","","","","Vierwaldstättersee","Lake Lucerne","Lago de los Cuatro Cantones","lac des Quatre-Cantons","","","Vierwaldstätti-tó","Danau Luzern","lago dei Quattro Cantoni","ルツェルン湖","루체른 호","Vierwoudstrekenmeer","Jezioro Czterech Kantonów","Lago dos Quatro Cantões","Фирвальдштетское озеро","Vierwaldstättersjön","Dört kanton Gölü","","琉森湖"
"Q14407","","","بحيرة زيورخ","","Zürichsee","Lake Zurich","Lago de Zúrich","lac de Zurich","","","Zürichi-tó","","lago di Zurigo","チューリッヒ湖","취리히 호","Meer van Zürich","Jezioro Zuryskie","Lago de Zurique","Цюрихское озеро","Zürichsjön","Zürih Gölü","","苏黎世湖"
"Q14429","","","","","Bielersee","Lake Biel","Lago de Biel/Bienne","lac de Bienne","","","Bieli-tó","","lago di Bienne","ビール湖","빌 호","Meer van Biel","Bielersee","Lago de Bienna","Бильское озеро","Bielsjön","","","比爾湖"
