"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q14714617","","","","","","Turtle-Flambeau Flowage","","Turtle-Flambeau Flowage","","","","","","","","","","","","","","",""
"Q7375392","","","","","","Lake DuBay","","Lake DuBay","","","","","","","","","","","","","","",""
"Q7356585","","","","","","William ""Bill"" Dannelly Reservoir","","William 'Bill' Dannelly Reservoir","","","","","","","","","","","","","","",""
"Q7356569","","","","","","Weiss Lake","","Weiss Lake","","","","","","","","","","","","","","",""
"Q7352948","","","","","","Tims Ford Lake","","Tims Ford Lake","","","","","","","","","","","","","","",""
"Q7350335","","","","","","Warm Springs Reservoir","","Warm Springs Reservoir","","","","","","","","","","","","","","",""
"Q7348418","","","","","","Robert S. Kerr Reservoir","","Robert S. Kerr Reservoir","","","","","","","","","","","","","","",""
"Q7337958","","","","","","Richard B. Russell Lake","","Richard B. Russell Lake","","","","","","","","","","","","","","",""
"Q7337864","","","","","","Senachwine Lake","","Senachwine Lake","","","","","","","","","","","","","","",""
"Q7337794","","","","","","Tellico Reservoir","","Tellico Reservoir","","","","","","","","","","","","","","",""
"Q7337482","","","","","","Wright Patman Lake","","Wright Patman Lake","","","","","","","","","","","","","","",""
"Q7337053","","","","","","Hyco Lake","","Hyco Lake","","","","","","","","","","","","","","",""
"Q7336801","","","","","","Stillhouse Hollow Lake","","Stillhouse Hollow Lake","","","","","","","","","","","","","","",""
"Q7336594","","","","","","Torch Lake","","Torch Lake","","","","","","","","","","","","","","",""
"Q7336423","","","","","","Strawberry Reservoir","","Strawberry Reservoir","","","","","","","","","","","","","","",""
"Q7334529","","","","","","Stockton Lake","","Stockton Lake","","","","","","","","","","","","","","",""
"Q7332263","","","","","","Lake Fork Reservoir","","Lake Fork Reservoir","","","","","","","","","","","","","","",""
"Q6478439","","","","","","Lake Wateree","Lago Wateree","Lake Wateree","","","","","","","","","","","","","","",""
"Q6477430","","","","","","Lake Poygan","Lago Poygan","Lake Poygan","","","","","","","","","","","","","","",""
"Q7109416","","","بحيرة أوتر تيل","","","Otter Tail Lake","","Otter Tail Lake","","","","","","","","","","","","","","",""
"Q7055989","","","بحيرة لونغ الشمالية، ميريفيلد","","","North Long Lake","","North Long Lake","","","","","","","","","","","","","","",""
"Q7331554","","","","","","Somerville Lake","","Somerville Lake","","","","","","","","","","","","","","",""
"Q7299389","","","","","","Raystown Lake","","Raystown Lake","","","","","","","","","","","","","","",""
"Q7295608","","","","","","Rathbun Lake","","Rathbun Lake","","","","","","","","","","","","","","",""
"Q7169824","","","","","","Perry Lake","","Perry Lake","","","","","","","","","","","","","","",""
"Q7167526","","","","","","Percy Priest Lake","","Percy Priest Lake","","","","","","","","","","","","","","",""
"Q7161839","","","","","","Pemadumcook Chain of Lakes","","Pemadumcook Chain of Lakes","","","","","","","","","","","","","","",""
"Q7143711","","","","","","Pat Mayse Lake","","Pat Mayse Lake","","","","","","","","","","","","","","",""
"Q7115013","","","","","","Owyhee Reservoir","","Owyhee Reservoir","","","","","","","","","","","","","","",""
"Q7072049","","","","","","O.C. Fisher Reservoir","","O.C. Fisher Reservoir","","","","","","","","","","","","","","",""
"Q7051157","","","","","","Norfork Tailwater","","Norfork Tailwater","","","","","","","","","","","","","","",""
"Q6934216","","","","","","Mullett Lake","","Mullett Lake","","","","","","","","","","","","","","",""
"Q6851737","","","","","","Milford Lake","","Milford Lake","","","","","","","","","","","","","","",""
"Q6770086","","","","","","Mark Twain Lake","","Mark Twain Lake","","","","","","","","","","","","","","",""
"Q6765339","","","","","","Marion Reservoir","","Marion Reservoir","","","","","","","","","","","","","","",""
"Q6499960","","","","","","Laurel River Lake","","Laurel River Lake","","","","","","","","","","","","","","",""
"Q6478535","","","","","","Lake Wister","","lac Wister","","","","","","","","","","","","","","",""
"Q6478348","","","","","","Lake Waco","","Lake Waco","","","","","","","","","","","","","","",""
"Q6477985","","","","","","Lake Tawakoni","","lac Tawakoni","","","","","","","","","","","","","","",""
"Q6477788","","","","","","Lake Sinclair","","Lake Sinclair","","","","","","","","","","","","","","",""
"Q6477710","","","","","","Lake Shelbyville","","Lake Shelbyville","","","","","","","","","","","","","","",""
"Q6477499","","","","","","Lake Red Rock","","Lake Red Rock","","","","","","","","","","","","","","",""
"Q5169623","","","","","","Coralville Lake","","Coralville Lake","","","","","","","","","","","","","","",""
"Q5134177","","","","","","Clinton Lake","","Clinton Lake","","","","","","","","","","","","","","",""
"Q5130751","","","","","","Clear Lake Reservoir","","Clear Lake Reservoir","","","","","","","","","","","","","","",""
"Q5087975","","","","","","Chatuge Lake","","lac Chatuge","","","","","","","","","","","","","","",""
"Q5054916","","","","","","Cave Run Lake","","Cave Run Lake","","","","","","","","","","","","","","",""
"Q5033900","","","","","","Canton Lake","","Canton Lake","","","","","","","","","","","","","","",""
"Q5000712","","","","","","Burt Lake","","lac Burt","","","","","","","","","","","","","","",""
"Q4973329","","","","","","Broken Bow Lake","","Broken Bow Lake","","","","","","","","","","","","","","",""
"Q4863379","","","","","","Barren River Lake","","Barren River Lake","","","","","","","","","","","","","","",""
"Q4791648","","","","","","Arkabutla Lake","","Arkabutla Lake","","","","","","","","","","","","","","",""
"Q3457703","","","","","","Wickiup Reservoir","","réservoir Wickiup","","","","","","","","","","","","","","",""
"Q3215278","","","","","","Lake Wappapello","","lac Wappapello","","","","","","","","","","","","","","",""
"Q3214934","","","","","","Houghton Lake","","lac Houghton","","","","","","","","","","","","","","",""
"Q1791343","","","","","Kukaklek Lake","Kukaklek Lake","","Kukaklek Lake","","","","","","","","","","","","","","",""
"Q3214917","","","","","","Lake Hamilton and Lake Catherine","","lac Hamilton et lac Catherine","","","","","","","","","","","","","","",""
"Q3214775","","","","","","Lake Butte des Morts","","lac Butte des Morts","","","","","","","","","","","","","","",""
"Q3214855","","","","","","Eagle Lake","Lago Eagle","lac Eagle","","","","","","","","","","","","","","",""
"Q5051203","","","","","","Catahoula Lake","Lago Catahoula","Catahoula Lake","","","","","","","","","","","","","","",""
"Q2224795","","","","","Sardis Lake","Sardis Lake","","Sardis Lake","","","","","","","","","","","","","","",""
"Q2119614","","","","","Pymatuning Reservoir","Pymatuning Reservoir","","Pymatuning Reservoir","","","","","","","","","","","","","","",""
"Q5267424","","","","","Devils Lake","Devils Lake","","Devils Lake","","","","","","","","","","","","","","",""
